Time,Arthur do Val: (State of São Paulo),Guilherme Boulos: (State of São Paulo),Celso Russomano: (State of São Paulo),Joice Hasselmann: (State of São Paulo),Bruno Covas: (State of São Paulo)
2020-11-14T17:21:00-03:00,45,16,4,0,40
2020-11-14T17:22:00-03:00,32,24,0,4,28
2020-11-14T17:23:00-03:00,24,16,20,4,44
2020-11-14T17:24:00-03:00,23,12,16,8,35
2020-11-14T17:25:00-03:00,40,16,0,8,63
2020-11-14T17:26:00-03:00,28,12,20,12,43
2020-11-14T17:27:00-03:00,58,4,4,8,39
2020-11-14T17:28:00-03:00,24,12,8,4,40
2020-11-14T17:29:00-03:00,12,16,0,0,47
2020-11-14T17:30:00-03:00,24,24,0,16,39
2020-11-14T17:31:00-03:00,44,16,8,4,56
2020-11-14T17:32:00-03:00,4,4,4,16,20
2020-11-14T17:33:00-03:00,24,4,0,0,69
2020-11-14T17:34:00-03:00,28,16,12,12,32
2020-11-14T17:35:00-03:00,36,16,8,0,60
2020-11-14T17:36:00-03:00,36,24,4,16,36
2020-11-14T17:37:00-03:00,39,28,8,4,55
2020-11-14T17:38:00-03:00,20,24,4,4,48
2020-11-14T17:39:00-03:00,41,21,4,12,58
2020-11-14T17:40:00-03:00,53,8,0,8,33
2020-11-14T17:41:00-03:00,33,12,8,12,66
2020-11-14T17:42:00-03:00,24,24,0,12,57
2020-11-14T17:43:00-03:00,32,16,4,4,64
2020-11-14T17:44:00-03:00,12,12,0,4,48
2020-11-14T17:45:00-03:00,31,12,0,4,51
2020-11-14T17:46:00-03:00,28,12,12,12,52
2020-11-14T17:47:00-03:00,40,12,4,4,28
2020-11-14T17:48:00-03:00,32,12,4,4,48
2020-11-14T17:49:00-03:00,43,16,12,16,43
2020-11-14T17:50:00-03:00,23,4,4,12,58
2020-11-14T17:51:00-03:00,38,11,11,4,38
2020-11-14T17:52:00-03:00,27,12,12,4,66
2020-11-14T17:53:00-03:00,35,8,8,0,62
2020-11-14T17:54:00-03:00,31,12,15,4,54
2020-11-14T17:55:00-03:00,39,15,15,4,58
2020-11-14T17:56:00-03:00,35,12,0,8,62
2020-11-14T17:57:00-03:00,44,8,0,8,40
2020-11-14T17:58:00-03:00,28,16,4,8,40
2020-11-14T17:59:00-03:00,47,8,8,12,39
2020-11-14T18:00:00-03:00,31,8,0,8,43
2020-11-14T18:01:00-03:00,43,4,0,4,74
2020-11-14T18:02:00-03:00,45,19,4,4,45
2020-11-14T18:03:00-03:00,42,19,11,23,61
2020-11-14T18:04:00-03:00,39,15,8,12,54
2020-11-14T18:05:00-03:00,35,15,4,12,38
2020-11-14T18:06:00-03:00,42,8,15,11,49
2020-11-14T18:07:00-03:00,38,4,8,4,79
2020-11-14T18:08:00-03:00,34,19,4,15,83
2020-11-14T18:09:00-03:00,46,11,0,11,69
2020-11-14T18:10:00-03:00,40,29,15,22,73
2020-11-14T18:11:00-03:00,32,18,7,7,81
2020-11-14T18:12:00-03:00,38,28,14,24,59
2020-11-14T18:13:00-03:00,38,17,14,3,62
2020-11-14T18:14:00-03:00,31,48,7,3,62
2020-11-14T18:15:00-03:00,46,43,10,16,79
2020-11-14T18:16:00-03:00,75,13,13,28,100
2020-11-14T18:17:00-03:00,24,29,21,15,67
2020-11-14T18:18:00-03:00,73,31,8,11,76
2020-11-14T18:19:00-03:00,91,32,21,11,99
