Time,Andrea Matarazzo: (State of São Paulo),Antônio Carlos: (State of São Paulo),Jilmar Tatto: (State of São Paulo),Bruno Covas: (State of São Paulo),Levy Fidelix: (State of São Paulo)
2020-11-14T15:16:00-03:00,2,1,1,7,1
2020-11-14T15:24:00-03:00,2,1,1,8,1
2020-11-14T15:32:00-03:00,1,1,1,7,1
2020-11-14T15:40:00-03:00,1,1,1,8,1
2020-11-14T15:48:00-03:00,1,1,1,6,1
2020-11-14T15:56:00-03:00,1,0,1,7,1
2020-11-14T16:04:00-03:00,1,0,1,7,1
2020-11-14T16:12:00-03:00,1,1,1,6,1
2020-11-14T16:20:00-03:00,2,1,1,11,1
2020-11-14T16:28:00-03:00,1,1,1,11,1
2020-11-14T16:36:00-03:00,2,1,1,9,1
2020-11-14T16:44:00-03:00,2,1,1,8,1
2020-11-14T16:52:00-03:00,2,1,1,9,1
2020-11-14T17:00:00-03:00,1,1,1,9,1
2020-11-14T17:08:00-03:00,2,1,1,9,1
2020-11-14T17:16:00-03:00,1,1,1,9,1
2020-11-14T17:24:00-03:00,1,1,1,8,1
2020-11-14T17:32:00-03:00,1,1,1,9,1
2020-11-14T17:40:00-03:00,1,0,1,9,1
2020-11-14T17:48:00-03:00,2,1,1,9,1
2020-11-14T17:56:00-03:00,2,1,1,9,1
2020-11-14T18:04:00-03:00,2,1,1,11,1
2020-11-14T18:12:00-03:00,1,1,1,12,1
2020-11-14T18:20:00-03:00,2,0,1,11,1
2020-11-14T18:28:00-03:00,2,1,1,12,1
2020-11-14T18:36:00-03:00,2,1,1,15,1
2020-11-14T18:44:00-03:00,2,1,1,14,1
2020-11-14T18:52:00-03:00,1,1,2,16,1
2020-11-14T19:00:00-03:00,1,1,1,12,1
2020-11-14T19:08:00-03:00,2,1,1,12,1
2020-11-14T19:16:00-03:00,3,1,1,21,1
2020-11-14T19:24:00-03:00,2,1,1,24,1
2020-11-14T19:32:00-03:00,2,0,1,28,1
2020-11-14T19:40:00-03:00,2,0,1,16,1
2020-11-14T19:48:00-03:00,2,1,1,16,1
2020-11-14T19:56:00-03:00,3,1,1,17,1
2020-11-14T20:04:00-03:00,2,1,1,17,1
2020-11-14T20:12:00-03:00,3,1,1,18,1
2020-11-14T20:20:00-03:00,2,1,1,19,1
2020-11-14T20:28:00-03:00,4,0,1,19,1
2020-11-14T20:36:00-03:00,1,1,1,19,1
2020-11-14T20:44:00-03:00,6,1,1,30,1
2020-11-14T20:52:00-03:00,3,1,1,22,1
2020-11-14T21:00:00-03:00,2,1,1,17,1
2020-11-14T21:08:00-03:00,3,1,1,20,1
2020-11-14T21:16:00-03:00,2,1,1,21,1
2020-11-14T21:24:00-03:00,3,1,1,19,1
2020-11-14T21:32:00-03:00,2,1,1,18,1
2020-11-14T21:40:00-03:00,3,0,1,28,1
2020-11-14T21:48:00-03:00,2,1,1,21,1
2020-11-14T21:56:00-03:00,2,1,1,19,1
2020-11-14T22:04:00-03:00,2,1,1,19,1
2020-11-14T22:12:00-03:00,2,1,1,18,1
2020-11-14T22:20:00-03:00,2,1,1,16,1
2020-11-14T22:28:00-03:00,2,1,1,20,1
2020-11-14T22:36:00-03:00,2,1,1,17,1
2020-11-14T22:44:00-03:00,2,1,1,16,1
2020-11-14T22:52:00-03:00,3,1,1,16,1
2020-11-14T23:00:00-03:00,2,1,1,16,1
2020-11-14T23:08:00-03:00,3,1,1,16,1
2020-11-14T23:16:00-03:00,4,1,2,15,1
2020-11-14T23:24:00-03:00,2,1,1,15,1
2020-11-14T23:32:00-03:00,2,0,1,17,1
2020-11-14T23:40:00-03:00,3,1,1,18,1
