Time,Arthur do Val: (State of São Paulo),Guilherme Boulos: (State of São Paulo),Celso Russomano: (State of São Paulo),Joice Hasselmann: (State of São Paulo),Bruno Covas: (State of São Paulo)
2020-11-14T15:22:00-03:00,51,10,3,7,31
2020-11-14T15:23:00-03:00,14,3,0,3,38
2020-11-14T15:24:00-03:00,38,21,0,7,28
2020-11-14T15:25:00-03:00,31,14,0,14,27
2020-11-14T15:26:00-03:00,20,17,7,10,44
2020-11-14T15:27:00-03:00,27,10,7,10,27
2020-11-14T15:28:00-03:00,34,10,3,7,30
2020-11-14T15:29:00-03:00,24,10,10,7,52
2020-11-14T15:30:00-03:00,17,10,10,3,54
2020-11-14T15:31:00-03:00,34,10,0,0,27
2020-11-14T15:32:00-03:00,34,7,10,3,34
2020-11-14T15:33:00-03:00,21,7,10,7,41
2020-11-14T15:34:00-03:00,35,10,4,14,45
2020-11-14T15:35:00-03:00,21,17,0,3,31
2020-11-14T15:36:00-03:00,31,21,3,7,38
2020-11-14T15:37:00-03:00,42,10,4,7,35
2020-11-14T15:38:00-03:00,21,10,0,7,35
2020-11-14T15:39:00-03:00,27,10,3,20,27
2020-11-14T15:40:00-03:00,13,17,3,10,30
2020-11-14T15:41:00-03:00,40,20,0,3,37
2020-11-14T15:42:00-03:00,43,3,0,0,33
2020-11-14T15:43:00-03:00,34,10,7,7,34
2020-11-14T15:44:00-03:00,23,3,7,17,37
2020-11-14T15:45:00-03:00,20,13,10,7,43
2020-11-14T15:46:00-03:00,17,7,3,3,23
2020-11-14T15:47:00-03:00,20,3,0,0,57
2020-11-14T15:48:00-03:00,30,7,0,7,27
2020-11-14T15:49:00-03:00,17,10,10,7,37
2020-11-14T15:50:00-03:00,27,10,3,10,21
2020-11-14T15:51:00-03:00,21,14,0,3,44
2020-11-14T15:52:00-03:00,7,7,0,10,14
2020-11-14T15:53:00-03:00,24,17,0,7,21
2020-11-14T15:54:00-03:00,17,10,3,7,56
2020-11-14T15:55:00-03:00,28,9,6,6,24
2020-11-14T15:56:00-03:00,30,7,7,10,20
2020-11-14T15:57:00-03:00,28,3,3,3,40
2020-11-14T15:58:00-03:00,20,6,3,11,42
2020-11-14T15:59:00-03:00,26,0,6,9,38
2020-11-14T16:00:00-03:00,23,9,6,6,47
2020-11-14T16:01:00-03:00,23,6,3,9,44
2020-11-14T16:02:00-03:00,17,14,3,0,17
2020-11-14T16:03:00-03:00,23,17,3,0,17
2020-11-14T16:04:00-03:00,40,10,3,17,33
2020-11-14T16:05:00-03:00,10,0,3,7,44
2020-11-14T16:06:00-03:00,30,13,3,7,33
2020-11-14T16:07:00-03:00,3,7,0,7,44
2020-11-14T16:08:00-03:00,22,3,0,3,35
2020-11-14T16:09:00-03:00,39,10,5,5,24
2020-11-14T16:10:00-03:00,13,8,3,3,27
2020-11-14T16:11:00-03:00,19,5,8,0,32
2020-11-14T16:12:00-03:00,21,8,0,4,45
2020-11-14T16:13:00-03:00,12,7,3,2,22
2020-11-14T16:14:00-03:00,11,4,2,0,13
2020-11-14T16:15:00-03:00,26,12,4,4,20
2020-11-14T16:16:00-03:00,30,14,2,2,28
2020-11-14T16:17:00-03:00,40,21,3,5,61
2020-11-14T16:18:00-03:00,35,17,5,2,39
2020-11-14T16:19:00-03:00,24,16,12,5,52
2020-11-14T16:20:00-03:00,43,16,18,11,100
