Time,Arthur do Val: (State of São Paulo),Guilherme Boulos: (State of São Paulo),Celso Russomano: (State of São Paulo),Joice Hasselmann: (State of São Paulo),Bruno Covas: (State of São Paulo)
2020-11-14T21:08:00-03:00,22,13,1,2,44
2020-11-14T21:09:00-03:00,21,13,4,1,56
2020-11-14T21:10:00-03:00,29,16,5,6,44
2020-11-14T21:11:00-03:00,18,6,2,4,36
2020-11-14T21:12:00-03:00,19,9,6,6,41
2020-11-14T21:13:00-03:00,28,10,9,5,56
2020-11-14T21:14:00-03:00,19,15,8,6,57
2020-11-14T21:15:00-03:00,20,17,1,3,54
2020-11-14T21:16:00-03:00,25,14,8,4,33
2020-11-14T21:17:00-03:00,34,9,4,9,39
2020-11-14T21:18:00-03:00,28,19,3,7,58
2020-11-14T21:19:00-03:00,16,12,7,5,73
2020-11-14T21:20:00-03:00,28,16,3,3,49
2020-11-14T21:21:00-03:00,34,14,8,10,66
2020-11-14T21:22:00-03:00,24,4,4,7,40
2020-11-14T21:23:00-03:00,18,20,1,3,42
2020-11-14T21:24:00-03:00,27,9,3,7,38
2020-11-14T21:25:00-03:00,20,10,1,7,48
2020-11-14T21:26:00-03:00,32,19,4,6,55
2020-11-14T21:27:00-03:00,20,12,5,8,47
2020-11-14T21:28:00-03:00,20,19,8,4,42
2020-11-14T21:29:00-03:00,23,14,3,4,46
2020-11-14T21:30:00-03:00,27,6,3,4,36
2020-11-14T21:31:00-03:00,22,11,8,4,59
2020-11-14T21:32:00-03:00,24,15,4,0,40
2020-11-14T21:33:00-03:00,21,15,10,6,37
2020-11-14T21:34:00-03:00,19,15,0,3,30
2020-11-14T21:35:00-03:00,31,14,4,1,44
2020-11-14T21:36:00-03:00,20,14,3,10,53
2020-11-14T21:37:00-03:00,30,11,3,1,56
2020-11-14T21:38:00-03:00,16,13,3,4,43
2020-11-14T21:39:00-03:00,21,7,1,3,33
2020-11-14T21:40:00-03:00,24,7,6,6,41
2020-11-14T21:41:00-03:00,15,15,8,8,33
2020-11-14T21:42:00-03:00,40,10,3,3,82
2020-11-14T21:43:00-03:00,16,16,4,4,100
2020-11-14T21:44:00-03:00,26,12,7,7,90
2020-11-14T21:45:00-03:00,26,17,9,3,77
2020-11-14T21:46:00-03:00,16,19,3,10,62
2020-11-14T21:47:00-03:00,25,20,7,7,58
2020-11-14T21:48:00-03:00,13,10,4,0,51
2020-11-14T21:49:00-03:00,25,9,10,1,55
2020-11-14T21:50:00-03:00,30,13,7,3,83
2020-11-14T21:51:00-03:00,19,10,7,7,58
2020-11-14T21:52:00-03:00,24,6,4,7,45
2020-11-14T21:53:00-03:00,28,13,4,7,51
2020-11-14T21:54:00-03:00,21,11,2,6,43
2020-11-14T21:55:00-03:00,39,19,3,4,50
2020-11-14T21:56:00-03:00,37,19,3,6,55
2020-11-14T21:57:00-03:00,24,12,11,3,58
2020-11-14T21:58:00-03:00,21,12,5,3,40
2020-11-14T21:59:00-03:00,35,15,4,3,40
2020-11-14T22:00:00-03:00,30,22,7,7,49
2020-11-14T22:01:00-03:00,22,10,9,6,40
2020-11-14T22:02:00-03:00,41,9,6,16,47
2020-11-14T22:03:00-03:00,26,14,9,2,52
2020-11-14T22:04:00-03:00,30,9,4,1,44
2020-11-14T22:05:00-03:00,21,12,8,8,40
2020-11-14T22:06:00-03:00,12,20,6,1,53
2020-11-14T22:07:00-03:00,28,5,5,3,75
