Time,Arthur do Val: (State of São Paulo),Guilherme Boulos: (State of São Paulo),Celso Russomano: (State of São Paulo),Joice Hasselmann: (State of São Paulo),Bruno Covas: (State of São Paulo)
2020-11-14T06:44:00-03:00,15,12,0,15,33
2020-11-14T06:52:00-03:00,34,5,6,14,34
2020-11-14T07:00:00-03:00,21,15,3,5,26
2020-11-14T07:08:00-03:00,10,7,0,22,29
2020-11-14T07:16:00-03:00,23,11,2,9,32
2020-11-14T07:24:00-03:00,20,21,9,15,31
2020-11-14T07:32:00-03:00,34,16,0,21,48
2020-11-14T07:40:00-03:00,48,8,8,20,42
2020-11-14T07:48:00-03:00,36,11,4,27,53
2020-11-14T07:56:00-03:00,50,17,9,7,53
2020-11-14T08:04:00-03:00,41,8,7,21,35
2020-11-14T08:12:00-03:00,23,17,5,18,56
2020-11-14T08:20:00-03:00,43,17,8,14,47
2020-11-14T08:28:00-03:00,43,16,11,12,43
2020-11-14T08:36:00-03:00,36,18,3,10,59
2020-11-14T08:44:00-03:00,24,16,6,10,55
2020-11-14T08:52:00-03:00,37,9,5,18,51
2020-11-14T09:00:00-03:00,48,23,5,9,58
2020-11-14T09:08:00-03:00,34,34,9,14,54
2020-11-14T09:16:00-03:00,34,21,8,11,68
2020-11-14T09:24:00-03:00,39,21,3,19,66
2020-11-14T09:32:00-03:00,32,21,5,19,50
2020-11-14T09:40:00-03:00,51,16,11,15,54
2020-11-14T09:48:00-03:00,37,13,8,10,60
2020-11-14T09:56:00-03:00,42,16,5,17,64
2020-11-14T10:04:00-03:00,36,26,5,11,63
2020-11-14T10:12:00-03:00,40,17,9,14,48
2020-11-14T10:20:00-03:00,51,18,6,21,66
2020-11-14T10:28:00-03:00,50,14,8,16,60
2020-11-14T10:36:00-03:00,52,20,10,12,47
2020-11-14T10:44:00-03:00,46,16,6,27,43
2020-11-14T10:52:00-03:00,51,14,10,14,61
2020-11-14T11:00:00-03:00,50,28,8,19,67
2020-11-14T11:08:00-03:00,35,23,11,13,55
2020-11-14T11:16:00-03:00,45,19,11,18,58
2020-11-14T11:24:00-03:00,51,13,8,15,70
2020-11-14T11:32:00-03:00,45,18,11,18,63
2020-11-14T11:40:00-03:00,53,27,6,10,60
2020-11-14T11:48:00-03:00,48,16,9,15,60
2020-11-14T11:56:00-03:00,77,22,6,11,71
2020-11-14T12:04:00-03:00,45,26,9,12,79
2020-11-14T12:12:00-03:00,59,28,13,14,64
2020-11-14T12:20:00-03:00,44,26,5,11,89
2020-11-14T12:28:00-03:00,55,21,8,18,70
2020-11-14T12:36:00-03:00,45,28,14,11,100
2020-11-14T12:44:00-03:00,61,23,6,19,93
2020-11-14T12:52:00-03:00,52,29,9,13,67
2020-11-14T13:00:00-03:00,57,24,11,10,71
2020-11-14T13:08:00-03:00,49,23,5,12,73
2020-11-14T13:16:00-03:00,60,23,7,17,64
2020-11-14T13:24:00-03:00,62,18,3,18,75
2020-11-14T13:32:00-03:00,58,25,6,17,72
2020-11-14T13:40:00-03:00,49,29,13,11,88
2020-11-14T13:48:00-03:00,64,32,14,18,89
2020-11-14T13:56:00-03:00,64,21,14,15,66
2020-11-14T14:04:00-03:00,62,33,10,11,75
2020-11-14T14:12:00-03:00,58,26,6,10,62
2020-11-14T14:20:00-03:00,47,30,9,13,66
2020-11-14T14:28:00-03:00,49,26,14,16,73
2020-11-14T14:36:00-03:00,54,28,8,13,82
2020-11-14T14:44:00-03:00,56,23,17,17,74
2020-11-14T14:52:00-03:00,58,20,13,21,70
2020-11-14T15:00:00-03:00,55,22,9,10,62
2020-11-14T15:08:00-03:00,62,15,8,17,78
2020-11-14T15:16:00-03:00,61,22,9,16,82
