Time,Arthur do Val: (State of São Paulo),Guilherme Boulos: (State of São Paulo),Celso Russomano: (State of São Paulo),Joice Hasselmann: (State of São Paulo),Bruno Covas: (State of São Paulo)
2020-11-14T22:44:00-03:00,38,15,5,10,56
2020-11-14T22:45:00-03:00,35,18,11,5,41
2020-11-14T22:46:00-03:00,34,13,0,5,58
2020-11-14T22:47:00-03:00,39,10,10,5,52
2020-11-14T22:48:00-03:00,42,34,0,7,59
2020-11-14T22:49:00-03:00,67,14,10,12,71
2020-11-14T22:50:00-03:00,34,17,5,10,56
2020-11-14T22:51:00-03:00,32,17,5,5,62
2020-11-14T22:52:00-03:00,37,25,10,10,60
2020-11-14T22:53:00-03:00,61,17,7,15,62
2020-11-14T22:54:00-03:00,35,17,7,5,62
2020-11-14T22:55:00-03:00,37,10,7,17,56
2020-11-14T22:56:00-03:00,34,20,17,2,78
2020-11-14T22:57:00-03:00,60,23,10,8,65
2020-11-14T22:58:00-03:00,33,12,2,13,45
2020-11-14T22:59:00-03:00,43,25,10,5,53
2020-11-14T23:00:00-03:00,34,13,10,8,62
2020-11-14T23:01:00-03:00,47,16,16,3,63
2020-11-14T23:02:00-03:00,21,26,13,10,73
2020-11-14T23:03:00-03:00,36,11,8,8,46
2020-11-14T23:04:00-03:00,33,10,13,10,41
2020-11-14T23:05:00-03:00,49,15,8,3,60
2020-11-14T23:06:00-03:00,42,27,5,5,71
2020-11-14T23:07:00-03:00,56,24,8,5,80
2020-11-14T23:08:00-03:00,55,26,10,8,36
2020-11-14T23:09:00-03:00,48,23,5,17,68
2020-11-14T23:10:00-03:00,25,28,8,10,73
2020-11-14T23:11:00-03:00,45,28,5,8,50
2020-11-14T23:12:00-03:00,49,15,21,5,49
2020-11-14T23:13:00-03:00,41,15,5,3,78
2020-11-14T23:14:00-03:00,37,13,3,3,42
2020-11-14T23:15:00-03:00,50,29,8,8,92
2020-11-14T23:16:00-03:00,42,16,3,5,68
2020-11-14T23:17:00-03:00,25,20,8,8,62
2020-11-14T23:18:00-03:00,36,22,8,6,59
2020-11-14T23:19:00-03:00,51,51,11,11,62
2020-11-14T23:20:00-03:00,42,19,0,6,53
2020-11-14T23:21:00-03:00,39,19,3,11,50
2020-11-14T23:22:00-03:00,43,29,15,0,49
2020-11-14T23:23:00-03:00,28,25,12,0,45
2020-11-14T23:24:00-03:00,51,17,6,8,62
2020-11-14T23:25:00-03:00,47,26,13,3,45
2020-11-14T23:26:00-03:00,40,10,0,15,69
2020-11-14T23:27:00-03:00,50,17,8,15,74
2020-11-14T23:28:00-03:00,21,13,5,15,43
2020-11-14T23:29:00-03:00,41,22,12,5,64
2020-11-14T23:30:00-03:00,29,26,10,10,48
2020-11-14T23:31:00-03:00,37,12,10,5,56
2020-11-14T23:32:00-03:00,15,28,3,3,64
2020-11-14T23:33:00-03:00,29,5,16,5,60
2020-11-14T23:34:00-03:00,49,23,10,18,65
2020-11-14T23:35:00-03:00,48,8,3,5,74
2020-11-14T23:36:00-03:00,36,18,3,13,73
2020-11-14T23:37:00-03:00,40,18,10,5,55
2020-11-14T23:38:00-03:00,53,20,13,7,67
2020-11-14T23:39:00-03:00,40,12,7,5,78
2020-11-14T23:40:00-03:00,33,12,5,7,89
2020-11-14T23:41:00-03:00,40,33,2,4,92
2020-11-14T23:42:00-03:00,55,16,8,8,100
