Time,Arthur do Val: (State of São Paulo),Guilherme Boulos: (State of São Paulo),Celso Russomano: (State of São Paulo),Joice Hasselmann: (State of São Paulo),Bruno Covas: (State of São Paulo)
2020-11-14T14:24:00-03:00,46,19,7,13,33
2020-11-14T14:25:00-03:00,39,26,0,13,45
2020-11-14T14:26:00-03:00,45,13,13,19,40
2020-11-14T14:27:00-03:00,38,39,6,0,71
2020-11-14T14:28:00-03:00,64,19,7,6,84
2020-11-14T14:29:00-03:00,39,13,6,19,77
2020-11-14T14:30:00-03:00,38,32,13,13,19
2020-11-14T14:31:00-03:00,26,13,20,7,46
2020-11-14T14:32:00-03:00,45,39,20,13,84
2020-11-14T14:33:00-03:00,6,0,0,32,70
2020-11-14T14:34:00-03:00,53,39,13,7,52
2020-11-14T14:35:00-03:00,51,13,13,6,38
2020-11-14T14:36:00-03:00,77,13,19,6,64
2020-11-14T14:37:00-03:00,39,13,0,26,78
2020-11-14T14:38:00-03:00,71,32,6,13,64
2020-11-14T14:39:00-03:00,32,13,0,0,32
2020-11-14T14:40:00-03:00,32,39,13,13,45
2020-11-14T14:41:00-03:00,27,20,0,13,92
2020-11-14T14:42:00-03:00,33,13,6,0,59
2020-11-14T14:43:00-03:00,39,33,6,13,90
2020-11-14T14:44:00-03:00,26,26,26,6,71
2020-11-14T14:45:00-03:00,45,19,0,19,39
2020-11-14T14:46:00-03:00,58,26,13,0,78
2020-11-14T14:47:00-03:00,39,32,6,26,58
2020-11-14T14:48:00-03:00,45,6,13,13,78
2020-11-14T14:49:00-03:00,59,13,20,0,39
2020-11-14T14:50:00-03:00,39,13,20,13,52
2020-11-14T14:51:00-03:00,48,13,13,33,54
2020-11-14T14:52:00-03:00,40,26,13,0,100
2020-11-14T14:53:00-03:00,46,26,20,46,72
2020-11-14T14:54:00-03:00,52,7,13,13,40
2020-11-14T14:55:00-03:00,52,13,7,20,65
2020-11-14T14:56:00-03:00,53,0,7,20,46
2020-11-14T14:57:00-03:00,53,20,7,7,46
2020-11-14T14:58:00-03:00,52,13,7,13,32
2020-11-14T14:59:00-03:00,32,26,13,19,57
2020-11-14T15:00:00-03:00,51,13,6,19,70
2020-11-14T15:01:00-03:00,52,0,0,0,32
2020-11-14T15:02:00-03:00,78,26,13,7,45
2020-11-14T15:03:00-03:00,46,20,0,0,86
2020-11-14T15:04:00-03:00,40,20,13,13,86
2020-11-14T15:05:00-03:00,26,19,6,6,32
2020-11-14T15:06:00-03:00,33,19,13,6,19
2020-11-14T15:07:00-03:00,32,26,6,13,32
2020-11-14T15:08:00-03:00,51,0,7,26,52
2020-11-14T15:09:00-03:00,39,25,19,6,76
2020-11-14T15:10:00-03:00,45,13,6,13,51
2020-11-14T15:11:00-03:00,13,13,0,13,70
2020-11-14T15:12:00-03:00,51,12,6,13,88
2020-11-14T15:13:00-03:00,37,12,6,6,50
2020-11-14T15:14:00-03:00,50,13,0,31,56
2020-11-14T15:15:00-03:00,74,12,6,6,61
2020-11-14T15:16:00-03:00,36,24,6,24,24
2020-11-14T15:17:00-03:00,57,23,6,0,97
2020-11-14T15:18:00-03:00,73,6,12,11,62
2020-11-14T15:19:00-03:00,39,32,5,5,49
2020-11-14T15:20:00-03:00,48,5,10,16,95
2020-11-14T15:21:00-03:00,38,10,5,14,81
2020-11-14T15:22:00-03:00,73,39,13,26,73
