Time,Arthur do Val: (State of São Paulo),Guilherme Boulos: (State of São Paulo),Celso Russomano: (State of São Paulo),Joice Hasselmann: (State of São Paulo),Bruno Covas: (State of São Paulo)
2020-11-14T20:29:00-03:00,37,13,5,16,50
2020-11-14T20:30:00-03:00,27,14,8,0,48
2020-11-14T20:31:00-03:00,26,13,6,5,74
2020-11-14T20:32:00-03:00,30,11,5,3,66
2020-11-14T20:33:00-03:00,37,10,11,3,70
2020-11-14T20:34:00-03:00,34,21,8,10,56
2020-11-14T20:35:00-03:00,24,24,11,10,51
2020-11-14T20:36:00-03:00,23,11,2,6,50
2020-11-14T20:37:00-03:00,36,18,10,3,67
2020-11-14T20:38:00-03:00,22,9,9,3,53
2020-11-14T20:39:00-03:00,28,14,5,2,64
2020-11-14T20:40:00-03:00,27,17,5,0,53
2020-11-14T20:41:00-03:00,33,6,6,8,47
2020-11-14T20:42:00-03:00,12,25,9,8,38
2020-11-14T20:43:00-03:00,25,11,3,6,60
2020-11-14T20:44:00-03:00,27,13,5,6,74
2020-11-14T20:45:00-03:00,44,29,5,10,76
2020-11-14T20:46:00-03:00,31,24,7,11,99
2020-11-14T20:47:00-03:00,77,41,6,24,94
2020-11-14T20:48:00-03:00,47,27,5,17,92
2020-11-14T20:49:00-03:00,38,35,9,9,91
2020-11-14T20:50:00-03:00,34,34,8,17,100
2020-11-14T20:51:00-03:00,42,19,6,27,73
2020-11-14T20:52:00-03:00,39,41,6,20,88
2020-11-14T20:53:00-03:00,38,22,9,8,66
2020-11-14T20:54:00-03:00,25,32,6,9,73
2020-11-14T20:55:00-03:00,43,25,6,12,67
2020-11-14T20:56:00-03:00,28,26,6,9,69
2020-11-14T20:57:00-03:00,29,17,3,12,63
2020-11-14T20:58:00-03:00,11,13,3,3,48
2020-11-14T20:59:00-03:00,18,13,5,10,49
2020-11-14T21:00:00-03:00,25,12,10,2,47
2020-11-14T21:01:00-03:00,21,17,6,6,55
2020-11-14T21:02:00-03:00,17,19,9,8,40
2020-11-14T21:03:00-03:00,29,16,5,8,43
2020-11-14T21:04:00-03:00,18,16,11,11,45
2020-11-14T21:05:00-03:00,22,21,6,7,50
2020-11-14T21:06:00-03:00,36,17,3,6,61
2020-11-14T21:07:00-03:00,31,23,6,6,56
2020-11-14T21:08:00-03:00,27,17,2,3,53
2020-11-14T21:09:00-03:00,26,17,5,2,70
2020-11-14T21:10:00-03:00,37,20,6,8,55
2020-11-14T21:11:00-03:00,23,8,3,5,45
2020-11-14T21:12:00-03:00,25,11,8,8,52
2020-11-14T21:13:00-03:00,35,12,11,6,69
2020-11-14T21:14:00-03:00,23,19,9,8,71
2020-11-14T21:15:00-03:00,24,20,2,3,68
2020-11-14T21:16:00-03:00,30,18,9,5,39
2020-11-14T21:17:00-03:00,44,12,5,12,49
2020-11-14T21:18:00-03:00,33,22,3,9,69
2020-11-14T21:19:00-03:00,21,13,9,9,92
2020-11-14T21:20:00-03:00,31,20,4,4,60
2020-11-14T21:21:00-03:00,37,19,10,10,83
2020-11-14T21:22:00-03:00,29,7,4,10,57
2020-11-14T21:23:00-03:00,29,32,3,3,53
2020-11-14T21:24:00-03:00,37,17,5,9,53
2020-11-14T21:25:00-03:00,31,15,5,10,51
2020-11-14T21:26:00-03:00,43,26,10,6,72
2020-11-14T21:27:00-03:00,36,29,10,9,77
