Time,Arthur do Val: (State of São Paulo),Guilherme Boulos: (State of São Paulo),Celso Russomano: (State of São Paulo),Joice Hasselmann: (State of São Paulo),Bruno Covas: (State of São Paulo)
2020-11-14T16:21:00-03:00,57,23,9,0,84
2020-11-14T16:22:00-03:00,38,19,0,10,76
2020-11-14T16:23:00-03:00,19,9,5,10,37
2020-11-14T16:24:00-03:00,32,23,9,25,79
2020-11-14T16:25:00-03:00,47,14,9,15,85
2020-11-14T16:26:00-03:00,43,9,5,10,76
2020-11-14T16:27:00-03:00,33,24,14,10,57
2020-11-14T16:28:00-03:00,29,14,10,0,68
2020-11-14T16:29:00-03:00,57,29,14,5,67
2020-11-14T16:30:00-03:00,34,29,0,5,72
2020-11-14T16:31:00-03:00,66,24,5,9,76
2020-11-14T16:32:00-03:00,29,14,0,5,81
2020-11-14T16:33:00-03:00,47,14,5,14,66
2020-11-14T16:34:00-03:00,19,14,24,5,81
2020-11-14T16:35:00-03:00,47,38,14,14,67
2020-11-14T16:36:00-03:00,48,24,10,19,57
2020-11-14T16:37:00-03:00,48,10,5,10,39
2020-11-14T16:38:00-03:00,10,10,5,5,72
2020-11-14T16:39:00-03:00,24,14,14,5,62
2020-11-14T16:40:00-03:00,48,19,14,10,67
2020-11-14T16:41:00-03:00,44,14,0,14,91
2020-11-14T16:42:00-03:00,43,24,10,5,72
2020-11-14T16:43:00-03:00,28,14,0,5,71
2020-11-14T16:44:00-03:00,43,14,14,10,67
2020-11-14T16:45:00-03:00,19,14,19,24,67
2020-11-14T16:46:00-03:00,28,28,19,9,47
2020-11-14T16:47:00-03:00,48,19,10,5,29
2020-11-14T16:48:00-03:00,62,29,5,5,100
2020-11-14T16:49:00-03:00,38,19,5,5,28
2020-11-14T16:50:00-03:00,29,5,10,31,63
2020-11-14T16:51:00-03:00,39,10,5,15,34
2020-11-14T16:52:00-03:00,19,14,10,0,82
2020-11-14T16:53:00-03:00,44,10,10,10,58
2020-11-14T16:54:00-03:00,20,10,15,5,79
2020-11-14T16:55:00-03:00,39,10,5,5,48
2020-11-14T16:56:00-03:00,58,19,5,5,63
2020-11-14T16:57:00-03:00,56,43,9,10,52
2020-11-14T16:58:00-03:00,47,38,5,0,52
2020-11-14T16:59:00-03:00,33,19,5,0,52
2020-11-14T17:00:00-03:00,24,10,5,5,38
2020-11-14T17:01:00-03:00,43,14,5,5,67
2020-11-14T17:02:00-03:00,34,0,0,5,73
2020-11-14T17:03:00-03:00,38,24,10,10,72
2020-11-14T17:04:00-03:00,30,15,5,36,54
2020-11-14T17:05:00-03:00,19,20,10,5,92
2020-11-14T17:06:00-03:00,62,14,0,30,71
2020-11-14T17:07:00-03:00,33,0,10,20,52
2020-11-14T17:08:00-03:00,51,5,14,20,60
2020-11-14T17:09:00-03:00,56,19,5,0,75
2020-11-14T17:10:00-03:00,33,5,5,10,19
2020-11-14T17:11:00-03:00,41,37,14,5,46
2020-11-14T17:12:00-03:00,49,40,9,9,80
2020-11-14T17:13:00-03:00,13,22,9,5,70
2020-11-14T17:14:00-03:00,53,17,0,9,83
2020-11-14T17:15:00-03:00,56,38,13,27,89
2020-11-14T17:16:00-03:00,28,20,4,0,44
2020-11-14T17:17:00-03:00,35,19,8,12,39
2020-11-14T17:18:00-03:00,39,29,11,15,64
2020-11-14T17:19:00-03:00,64,30,25,10,92
